Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3, Node4, Magnitude4, Angle4, pu4
"B785", 0, 1,    216.496,   -2.7,         0, 2,    226.501, -120.7,         0, 3,    221.679,  119.0,         0, 4,    5.49442,  -13.5,         0
"B1741", 0, 1,    225.611,   -0.9,         0, 2,    224.674, -121.2,         0, 3,    227.739,  119.5,         0, 4,    3.95183,  -67.7,         0
"B143", 0, 1,    215.661,   -2.9,         0, 2,     226.92, -120.7,         0, 3,     221.09,  119.0,         0, 4,    5.76957,   -8.8,         0
"B3315", 0, 1,    228.616,   -0.4,         0, 2,    228.518, -120.5,         0, 3,    228.212,  119.5,         0, 4,   0.949798,  -17.4,         0
"B3000", 0, 1,    212.449,   -3.9,         0, 2,    226.849, -120.8,         0, 3,    217.582,  118.5,         0, 4,    5.23343,    1.2,         0
"B1009", 0, 1,    214.854,   -3.2,         0, 2,    226.939, -120.7,         0, 3,    220.188,  118.9,         0, 4,      5.561,   -6.1,         0
"B1773", 0, 1,    228.117,   -0.5,         0, 2,    228.624, -120.5,         0, 3,    228.336,  119.5,         0, 4,    1.50496,  -10.6,         0
"B1884", 0, 1,    225.535,   -0.9,         0, 2,    225.498, -121.1,         0, 3,    227.095,  119.4,         0, 4,    2.63552,  -61.2,         0
"B640", 0, 1,    215.128,   -3.1,         0, 2,    226.968, -120.7,         0, 3,    220.689,  118.9,         0, 4,    5.75645,   -7.6,         0
"B2269", 0, 1,    224.699,   -1.0,         0, 2,    224.404, -121.3,         0, 3,    226.195,  119.3,         0, 4,    2.81112,  -76.8,         0
"B2718", 0, 1,    225.535,   -0.9,         0, 2,    225.498, -121.1,         0, 3,    227.095,  119.4,         0, 4,    2.63552,  -61.2,         0
"B1652", 0, 1,    225.175,   -0.9,         0, 2,    224.852, -121.1,         0, 3,    226.764,  119.4,         0, 4,     2.8422,  -69.8,         0
